Gene,DEG
Ptpn6,UP
Sept3,UP
Trim9,UP
Lrrc14b,UP
Vdr,UP
Zfp345,UP
Gdf3,UP
S100a7a,UP
Card14,UP
Ppp1r3b,UP
Rasgrf2,UP
Chst10,UP
Hpn,UP
Lrrc25,UP
Arhgap8,UP
6430531B16Rik,UP
Col9a3,UP
Rasal1,UP
Nppb,UP
Neurl3,UP
Fndc5,UP
Foxo6,UP
Fmnl1,UP
Nxf3,UP
Ly86,UP
Bik,UP
Masp1,UP
Fam107a,UP
Kif5c,UP
Il2rg,UP
Ifit1bl1,UP
Cd300lb,UP
Lemd1,UP
Vav1,UP
Arl11,UP
Mrc1,UP
Blnk,UP
Sh3bgrl2,UP
Spire2,UP
AI661453,UP
Dhrs9,UP
Stab1,UP
Clec4a1,UP
A530016L24Rik,UP
Rhd,UP
Rnf208,UP
Lmtk3,UP
Kctd14,UP
C130026I21Rik,UP
Pglyrp1,UP
Dusp15,UP
Ppp1r3a,UP
Tnni3,UP
Rasl10b,UP
Wfdc6a,UP
Ccdc170,UP
Batf,UP
Tmem117,UP
Ccdc88b,UP
Sult1e1,UP
Ptpru,UP
Gprasp2,UP
Cd180,UP
Gimap3,UP
Aqp7,UP
F7,UP
Tbx1,UP
Ms4a4a,UP
Bex2,UP
Kng1,UP
Tbc1d10c,UP
Zfyve28,UP
Itgam,UP
UPk1b,UP
Gm15922,UP
Plce1,UP
Rab11fip1,UP
Zfp850,UP
Trim72,UP
Trim5,UP
Cd37,UP
Gabra3,UP
Arhgap26,UP
Nrros,UP
Actn2,UP
BC051142,UP
Hpgds,UP
Tmem44,UP
Arhgap9,UP
A630001G21Rik,UP
Cnr2,UP
Slamf8,UP
Fndc7,UP
Igsf6,UP
Etnk2,UP
4930550L24Rik,UP
Cst6,UP
Rec8,UP
Htr2b,UP
Ptgs1,UP
Krt80,UP
2010300C02Rik,UP
Eppin,UP
Myoz2,UP
Atp8b3,UP
Ifi27l2b,UP
Cntnap2,UP
Gpr182,UP
Crygc,UP
Mylk3,UP
Mroh2a,UP
Gm12185,UP
Plcb1,UP
Cd200r1,UP
Tmem151a,UP
Cmklr1,UP
Psg29,UP
Arhgap25,UP
Amz1,UP
Veph1,UP
Myo1g,UP
Foxc2,UP
Cd244,UP
Acan,UP
AB124611,UP
Plbd1,UP
Fcgr4,UP
Nfkbid,UP
Sox8,UP
Mlph,UP
Il2rb,UP
Akap5,UP
Itgb7,UP
Ms4a6b,UP
Sucnr1,UP
Sh3gl3,UP
Shc4,UP
Ccr7,UP
Bst1,UP
Sort1,UP
Tctex1d4,UP
Ccl12,UP
Il2ra,UP
Traf1,UP
Snx20,UP
Wipf3,UP
Il7r,UP
Cd22,UP
Tec,UP
Col8a2,UP
Slitrk5,UP
Sec14l2,UP
Cib3,UP
Lrtm2,UP
Sds,UP
Hsd17b3,UP
Pm20d1,UP
Scin,UP
Prkcz,UP
Ankrd45,UP
Cd74,UP
Tmem150c,UP
Itgb4,UP
Naip5,UP
Padi2,UP
Myh14,UP
Jaml,UP
Zc2hc1c,UP
Kcnn4,UP
Slc25a21,UP
Eya1,UP
Nat8f5,UP
Itln1,UP
Nat8l,UP
Card9,UP
Cbr2,UP
Lypd8,UP
Bin2,UP
Kcnk13,UP
Gpr160,UP
Syne4,UP
Naip2,UP
Il12rb1,UP
Col28a1,UP
Slc9a9,UP
Hsd17b14,UP
Cacnb4,UP
Parvg,UP
Ccl17,UP
A530064D06Rik,UP
Adgre1,UP
Cadps2,UP
Lcp2,UP
Btk,UP
Sec14l5,UP
Trim6,UP
Zfp385c,UP
Nrip3,UP
Calcoco2,UP
Klrb1a,UP
Selplg,UP
Mpzl3,UP
Rubcnl,UP
Clec12a,UP
Fga,UP
Ccr5,UP
Dusp2,UP
A2m,UP
Mast1,UP
Aqp3,UP
Serpina3a,UP
Scube2,UP
Ptprc,UP
Itgax,UP
Prph,UP
Lypd1,UP
Gm14461,UP
Tceal6,UP
Clca3a2,UP
Paqr9,UP
Ccr10,UP
Olfr39,UP
Inpp5d,UP
Tns4,UP
Ism2,UP
Tox,UP
Adamtsl1,UP
Pdia2,UP
Lrrn4,UP
Pnpla1,UP
Tlr7,UP
Mro,UP
Clec4a3,UP
Ly6g5b,UP
Tnfsf8,UP
Mchr1,UP
Stap1,UP
Adap1,UP
Tfec,UP
Ackr1,UP
Fam105a,UP
Chl1,UP
Grrp1,UP
Stk26,UP
S100a8,UP
Arhgap30,UP
Slc1a7,UP
Nfam1,UP
Clec7a,UP
Clec4a2,UP
Lat,UP
Sstr3,UP
Bcl2a1a,UP
Wnk3,UP
Ano3,UP
Flt4,UP
Olfr873,UP
Plcd4,UP
Hpca,UP
Ifitm10,UP
Ccdc146,UP
Csf3r,UP
Klhl14,UP
Orm1,UP
2900011O08Rik,UP
Arap2,UP
Pbld1,UP
Nat8,UP
Cd72,UP
Tbxas1,UP
Cd300lf,UP
Slfn1,UP
Spn,UP
Rhox10,UP
Apol11b,UP
Armc2,UP
A530032D15Rik,UP
Ptpn7,UP
Sptb,UP
Fgf1,UP
Galnt6,UP
Dock2,UP
Epor,UP
F13a1,UP
Ugt3a2,UP
Rgs22,UP
Ifnlr1,UP
Olfr56,UP
Lrrn2,UP
Il22ra1,UP
Il1a,UP
Olr1,UP
Asb11,UP
Uroc1,UP
Pira2,UP
C5ar1,UP
Apol7a,UP
Pld4,UP
Olfr872,UP
Mgat4a,UP
St8sia2,UP
Lyl1,UP
Ltb4r1,UP
Il17re,UP
4930447C04Rik,UP
Xkrx,UP
Nptx2,UP
Gria4,UP
Hsh2d,UP
Gp1ba,UP
Pcsk1n,UP
Dennd2d,UP
Svs5,UP
Dock10,UP
Plxnc1,UP
Dlg2,UP
Azgp1,UP
H2-M2,UP
Prelid3a,UP
Ahsg,UP
Fgl1,UP
Ccdc187,UP
Tll1,UP
4932438H23Rik,UP
Matk,UP
Clec4e,UP
Hivep3,UP
Arg1,UP
Erv3,UP
Tnfrsf11a,UP
Cyp4f37,UP
Cd40,UP
Stra6l,UP
Klhl6,UP
Slc7a13,UP
Esyt3,UP
Tmc7,UP
Pard6b,UP
Slc13a3,UP
Ins2,UP
Gcnt1,UP
Disp2,UP
Fcna,UP
Gm17019,UP
Gstp3,UP
Lair1,UP
Egf,UP
Sult2b1,UP
Ahrr,UP
Trpm3,UP
Slain1,UP
Tsx,UP
Slc13a4,UP
Strip2,UP
Oscar,UP
Fam184b,UP
Map3k21,UP
Clec10a,UP
Ppp1r14c,UP
Slc22a1,UP
Fcamr,UP
C2cd4d,UP
Tmem252,UP
Mag,UP
Frmd3,UP
Crxos,UP
Dmrtc1a,UP
Gipc3,UP
Akr1c12,UP
Ptk6,UP
Vat1l,UP
Spaca9,UP
Tnfsf14,UP
Mtmr7,UP
Myom3,UP
Il31ra,UP
Sash3,UP
Pkd1l2,UP
Cidea,UP
Xcr1,UP
Piwil2,UP
9930111J21Rik2,UP
Gm15931,UP
P2ry10b,UP
Rgs20,UP
Tspear,UP
Prrt3,UP
Prokr1,UP
Scn3b,UP
Cd83,UP
