gene	sex.bias
Acss2	Sertoli
Ccdc36	Sertoli
Spin2c	granulosa
Gja4	granulosa
Slc44a3	granulosa
Plekhb1	Sertoli
Gdpd5	granulosa
Arrb1	granulosa
Cnp	Sertoli
Star	Sertoli
Itgb3	granulosa
Gm6472	granulosa
Zfp462	Sertoli
Rarres1	Sertoli
Krtcap2	granulosa
Galc	granulosa
Cobll1	Sertoli
Pdgfb	granulosa
Ccnd1	Sertoli
Large1	granulosa
Vxn	Sertoli
Lox	granulosa
Rnase4	granulosa
Ptgr1	Sertoli
Tap1	granulosa
Plpp5	granulosa
Camk1	granulosa
Cnnm1	granulosa
Mboat1	granulosa
Igfbp2	granulosa
Kcnd3	Sertoli
Fgd5	granulosa
Shisa2	Sertoli
Gm15262	Sertoli
Npl	Sertoli
Miox	granulosa
Stom	Sertoli
D6Ertd527e	granulosa
Dok7	granulosa
Cav1	granulosa
Lpcat1	granulosa
Mov10l1	Sertoli
Nos2	granulosa
Fam20c	granulosa
Hspb8	Sertoli
Slc41a2	Sertoli
Sycp1	Sertoli
Tent5b	granulosa
Prrt4	granulosa
Hba-a1	granulosa
Fyb2	Sertoli
Slc25a12	granulosa
Ano8	granulosa
Taf7l	Sertoli
Loxl1	granulosa
Crebl2	Sertoli
Coch	granulosa
Fbln1	granulosa
Bcl3	Sertoli
Bricd5	Sertoli
Rorc	Sertoli
Sardh	granulosa
Ahsg	Sertoli
Tap2	granulosa
Mafb	Sertoli
Slc18a2	granulosa
Gpc1	granulosa
Tmie	Sertoli
Rdh10	Sertoli
Gm42303	granulosa
Dmrt1	Sertoli
Nup62cl	Sertoli
Entpd1	granulosa
Mcam	Sertoli
P3h3	granulosa
Comp	granulosa
Tmtc1	granulosa
Ebf4	granulosa
Zranb3	granulosa
Fam90a1b	Sertoli
Fbln2	Sertoli
Dlg3	granulosa
Hspa2	Sertoli
Rnf181	Sertoli
Slc19a1	granulosa
Bc1	Sertoli
Slc1a6	Sertoli
Gm35533	Sertoli
Fam110b	Sertoli
Rragb	Sertoli
Rarg	granulosa
Lamb1	granulosa
Acsl5	granulosa
Alpl	Sertoli
Ak4	granulosa
Erbb3	Sertoli
Fam162a	granulosa
Tubb2a	granulosa
Cotl1	granulosa
Hyi	granulosa
Slc9a7	granulosa
Lactb	Sertoli
P2rx2	Sertoli
Tpmt	Sertoli
Grem1	granulosa
Nup210	granulosa
Cdo1	Sertoli
Ntf5	Sertoli
Bmp3	granulosa
Kcnk2	granulosa
Tst	Sertoli
Marveld1	granulosa
C1s1	Sertoli
Gamt	Sertoli
Shroom1	granulosa
Glb1	granulosa
Cbs	granulosa
Cdt1	granulosa
Steap3	granulosa
Rassf10	Sertoli
Rab33a	granulosa
Tcf24	Sertoli
H2-M3	granulosa
Pla2g7	Sertoli
Clec1a	granulosa
Colgalt2	granulosa
Cmip	granulosa
Pimreg	granulosa
Cope	granulosa
Pclaf	granulosa
Lpar3	Sertoli
Syce1	Sertoli
Gdpd2	granulosa
Gm11942	granulosa
Zfp7	Sertoli
E330021D16Rik	granulosa
Gm13394	granulosa
